message_id,sampling_stratum,urgency_label,label_version,review_status
hernandez-j/notes_inbox/110.,general_random,nonurgent,1.0,Reviewed
hodge-j/notes_inbox/19.,general_random,nonurgent,1.0,Reviewed
jones-t/all_documents/10791.,general_random,nonurgent,1.0,Reviewed
jones-t/all_documents/2893.,general_random,nonurgent,1.0,Reviewed
jones-t/all_documents/9996.,general_random,nonurgent,1.0,Reviewed
jones-t/notes_inbox/134.,general_random,nonurgent,1.0,Reviewed
jones-t/notes_inbox/3149.,general_random,nonurgent,1.0,Reviewed
jones-t/notes_inbox/3294.,general_random,nonurgent,1.0,Reviewed
kaminski-v/_sent_mail/2409.,general_random,nonurgent,1.0,Reviewed
kaminski-v/all_documents/5954.,general_random,nonurgent,1.0,Reviewed
kaminski-v/calendar/72.,general_random,nonurgent,1.0,Reviewed
kaminski-v/deleted_items/2210.,general_random,nonurgent,1.0,Reviewed
kaminski-v/sent/1703.,general_random,nonurgent,1.0,Reviewed
kaminski-v/sent/3970.,general_random,nonurgent,1.0,Reviewed
kaminski-v/sent/4700.,general_random,nonurgent,1.0,Reviewed
kaminski-v/sent/539.,general_random,nonurgent,1.0,Reviewed
kaminski-v/universities/307.,general_random,nonurgent,1.0,Reviewed
kean-s/all_documents/1008.,general_random,nonurgent,1.0,Reviewed
kean-s/all_documents/484.,general_random,nonurgent,1.0,Reviewed
kean-s/all_documents/5917.,general_random,nonurgent,1.0,Reviewed
kean-s/archiving/untitled/1922.,general_random,nonurgent,1.0,Reviewed
kean-s/archiving/untitled/1961.,general_random,nonurgent,1.0,Reviewed
kean-s/attachments/1922.,general_random,nonurgent,1.0,Reviewed
kean-s/calendar/untitled/1599.,general_random,nonurgent,1.0,Reviewed
kean-s/calendar/untitled/7411.,general_random,nonurgent,1.0,Reviewed
kean-s/calendar/untitled/909.,general_random,nonurgent,1.0,Reviewed
kean-s/california/597.,general_random,nonurgent,1.0,Reviewed
kean-s/cuiba/1.,general_random,urgent,1.0,Reviewed
kean-s/discussion_threads/2455.,general_random,nonurgent,1.0,Reviewed
kitchen-l/_americas/esvl/405.,general_random,nonurgent,1.0,Reviewed
kitchen-l/_americas/mrha/ooc/160.,general_random,nonurgent,1.0,Reviewed
kitchen-l/sent_items/602.,general_random,nonurgent,1.0,Reviewed
lavorato-j/discussion_threads/104.,general_random,nonurgent,1.0,Reviewed
lay-k/inbox/682.,general_random,nonurgent,1.0,Reviewed
linder-e/all_documents/342.,general_random,urgent,1.0,Reviewed
linder-e/all_documents/891.,general_random,nonurgent,1.0,Reviewed
lokay-m/corporate/149.,general_random,nonurgent,1.0,Reviewed
lokay-m/deleted_items/201.,general_random,nonurgent,1.0,Reviewed
lokay-m/discussion_threads/425.,general_random,nonurgent,1.0,Reviewed
lokay-m/tw_commercial_group/1223.,general_random,urgent,1.0,Reviewed
love-p/_sent_mail/688.,general_random,urgent,1.0,Reviewed
love-p/all_documents/162.,general_random,nonurgent,1.0,Reviewed
love-p/all_documents/23.,general_random,nonurgent,1.0,Reviewed
love-p/discussion_threads/390.,general_random,nonurgent,1.0,Reviewed
lucci-p/sent_items/264.,general_random,nonurgent,1.0,Reviewed
mann-k/discussion_threads/2010.,general_random,nonurgent,1.0,Reviewed
mccarty-d/deleted_items/98.,general_random,nonurgent,1.0,Reviewed
mcconnell-m/_sent_mail/630.,general_random,nonurgent,1.0,Reviewed
mcconnell-m/discussion_threads/15.,general_random,nonurgent,1.0,Reviewed
mcconnell-m/notes_inbox/117.,general_random,nonurgent,1.0,Reviewed
mclaughlin-e/all_documents/417.,general_random,urgent,1.0,Reviewed
mims-thurston-p/_sent_mail/209.,general_random,nonurgent,1.0,Reviewed
neal-s/sent/365.,general_random,nonurgent,1.0,Reviewed
nemec-g/all_documents/4451.,general_random,urgent,1.0,Reviewed
nemec-g/all_documents/5101.,general_random,nonurgent,1.0,Reviewed
nemec-g/notes_inbox/1636.,general_random,urgent,1.0,Reviewed
nemec-g/sent_items/616.,general_random,urgent,1.0,Reviewed
nemec-g/sent/2003.,general_random,nonurgent,1.0,Reviewed
panus-s/deleted_items/5.,general_random,nonurgent,1.0,Reviewed
perlingiere-d/sent_items/137.,general_random,nonurgent,1.0,Reviewed
perlingiere-d/sent/271.,general_random,nonurgent,1.0,Reviewed
perlingiere-d/sent/299.,general_random,nonurgent,1.0,Reviewed
presto-k/deleted_items/347.,general_random,nonurgent,1.0,Reviewed
ring-r/eesi_deleted_documents/5.,general_random,nonurgent,1.0,Reviewed
rogers-b/genco_jv_ipo/414.,general_random,nonurgent,1.0,Reviewed
sager-e/all_documents/1317.,general_random,nonurgent,1.0,Reviewed
sager-e/all_documents/3094.,general_random,urgent,1.0,Reviewed
salisbury-h/sent_items/96.,general_random,nonurgent,1.0,Reviewed
sanders-r/all_documents/1617.,general_random,nonurgent,1.0,Reviewed
sanders-r/all_documents/2180.,general_random,nonurgent,1.0,Reviewed
sanders-r/deleted_items/37.,general_random,nonurgent,1.0,Reviewed
sanders-r/nsm/38.,general_random,nonurgent,1.0,Reviewed
scholtes-d/transmission/37.,general_random,nonurgent,1.0,Reviewed
schwieger-j/hpl_sell/1.,general_random,nonurgent,1.0,Reviewed
scott-s/_sent_mail/647.,general_random,nonurgent,1.0,Reviewed
scott-s/_sent_mail/82.,general_random,nonurgent,1.0,Reviewed
scott-s/all_documents/1281.,general_random,nonurgent,1.0,Reviewed
scott-s/discussion_threads/117.,general_random,nonurgent,1.0,Reviewed
scott-s/discussion_threads/238.,general_random,nonurgent,1.0,Reviewed
semperger-c/deleted_items/347.,general_random,urgent,1.0,Reviewed
semperger-c/sent_items/37.,general_random,nonurgent,1.0,Reviewed
shackleton-s/all_documents/10460.,general_random,nonurgent,1.0,Reviewed
shackleton-s/all_documents/377.,general_random,nonurgent,1.0,Reviewed
shackleton-s/all_documents/3841.,general_random,nonurgent,1.0,Reviewed
shackleton-s/notes_inbox/376.,general_random,nonurgent,1.0,Reviewed
shackleton-s/notes_inbox/794.,general_random,nonurgent,1.0,Reviewed
shackleton-s/sent/2371.,general_random,nonurgent,1.0,Reviewed
shankman-j/all_documents/1133.,general_random,nonurgent,1.0,Reviewed
shankman-j/all_documents/322.,general_random,nonurgent,1.0,Reviewed
shankman-j/all_documents/374.,general_random,nonurgent,1.0,Reviewed
shapiro-r/2002_budget/4.,general_random,nonurgent,1.0,Reviewed
shapiro-r/all_documents/75.,general_random,nonurgent,1.0,Reviewed
shively-h/deleted_items/94.,general_random,nonurgent,1.0,Reviewed
skilling-j/_sent_mail/282.,general_random,nonurgent,1.0,Reviewed
skilling-j/discussion_threads/1074.,general_random,nonurgent,1.0,Reviewed
skilling-j/discussion_threads/1195.,general_random,nonurgent,1.0,Reviewed
storey-g/deleted_items/231.,general_random,nonurgent,1.0,Reviewed
symes-k/_sent_mail/190.,general_random,urgent,1.0,Reviewed
symes-k/all_documents/2820.,general_random,nonurgent,1.0,Reviewed
symes-k/discussion_threads/1981.,general_random,nonurgent,1.0,Reviewed
taylor-m/all_documents/8334.,general_random,nonurgent,1.0,Reviewed
taylor-m/deleted_items/539.,general_random,nonurgent,1.0,Reviewed
tholt-j/_sent_mail/49.,general_random,nonurgent,1.0,Reviewed
whalley-l/_sent_mail/56.,general_random,nonurgent,1.0,Reviewed
whalley-l/discussion_threads/1358.,general_random,nonurgent,1.0,Reviewed
white-s/deleted_items/650.,general_random,nonurgent,1.0,Reviewed
williams-j/discussion_threads/34.,general_random,nonurgent,1.0,Reviewed
wolfe-j/inbox/326.,general_random,nonurgent,1.0,Reviewed
ermis-f/all_documents/95.,urgency_enriched,nonurgent,1.0,Reviewed
kaminski-v/c/technote/mail/projects/97.,urgency_enriched,nonurgent,1.0,Reviewed
rapp-b/inbox/215.,urgency_enriched,urgent,1.0,Reviewed
lokay-m/all_documents/815.,urgency_enriched,nonurgent,1.0,Reviewed
hyvl-d/gas/20.,urgency_enriched,nonurgent,1.0,Reviewed
zufferli-j/sent_items/30.,urgency_enriched,nonurgent,1.0,Reviewed
kaminski-v/credit/42.,urgency_enriched,nonurgent,1.0,Reviewed
germany-c/ces/353.,urgency_enriched,urgent,1.0,Reviewed
mann-k/_sent_mail/739.,urgency_enriched,urgent,1.0,Reviewed
lay-k/all_documents/962.,urgency_enriched,nonurgent,1.0,Reviewed
nemec-g/all_documents/4842.,urgency_enriched,nonurgent,1.0,Reviewed
mims-thurston-p/deleted_items/471.,urgency_enriched,nonurgent,1.0,Reviewed
kean-s/discussion_threads/3480.,urgency_enriched,urgent,1.0,Reviewed
watson-k/e_mail_bin/537.,urgency_enriched,urgent,1.0,Reviewed
kean-s/notes_inbox/441.,urgency_enriched,nonurgent,1.0,Reviewed
griffith-j/discussion_threads/70.,urgency_enriched,urgent,1.0,Reviewed
taylor-m/sent/124.,urgency_enriched,nonurgent,1.0,Reviewed
martin-t/inbox/282.,urgency_enriched,nonurgent,1.0,Reviewed
lokay-m/discussion_threads/686.,urgency_enriched,nonurgent,1.0,Reviewed
kean-s/notes_inbox/150.,urgency_enriched,nonurgent,1.0,Reviewed
dasovich-j/all_documents/13099.,urgency_enriched,nonurgent,1.0,Reviewed
taylor-m/notes_inbox/2403.,urgency_enriched,urgent,1.0,Reviewed
taylor-m/sent/528.,urgency_enriched,urgent,1.0,Reviewed
williams-w3/bill_williams_iii/268.,urgency_enriched,nonurgent,1.0,Reviewed
dasovich-j/all_documents/4053.,urgency_enriched,nonurgent,1.0,Reviewed
kean-s/calendar/untitled/409.,urgency_enriched,nonurgent,1.0,Reviewed
lay-k/all_documents/740.,urgency_enriched,nonurgent,1.0,Reviewed
ermis-f/all_documents/294.,urgency_enriched,urgent,1.0,Reviewed
symes-k/all_documents/102.,urgency_enriched,nonurgent,1.0,Reviewed
bass-e/discussion_threads/900.,urgency_enriched,nonurgent,1.0,Reviewed
nemec-g/all_documents/6442.,urgency_enriched,nonurgent,1.0,Reviewed
kaminski-v/_sent_mail/4074.,urgency_enriched,nonurgent,1.0,Reviewed
mann-k/all_documents/4890.,urgency_enriched,urgent,1.0,Reviewed
kean-s/attachments/146.,urgency_enriched,nonurgent,1.0,Reviewed
beck-s/all_documents/208.,urgency_enriched,urgent,1.0,Reviewed
donohoe-t/discussion_threads/109.,urgency_enriched,nonurgent,1.0,Reviewed
shackleton-s/all_documents/2656.,urgency_enriched,nonurgent,1.0,Reviewed
schoolcraft-d/inbox/junk/574.,urgency_enriched,nonurgent,1.0,Reviewed
mann-k/deleted_items/179.,urgency_enriched,nonurgent,1.0,Reviewed
kean-s/deleted_items/279.,urgency_enriched,nonurgent,1.0,Reviewed
buy-r/inbox/324.,urgency_enriched,nonurgent,1.0,Reviewed
zipper-a/tq/8.,urgency_enriched,urgent,1.0,Reviewed
horton-s/discussion_threads/56.,urgency_enriched,nonurgent,1.0,Reviewed
shackleton-s/all_documents/1260.,urgency_enriched,nonurgent,1.0,Reviewed
kaminski-v/discussion_threads/1425.,urgency_enriched,nonurgent,1.0,Reviewed
haedicke-m/inbox/107.,urgency_enriched,nonurgent,1.0,Reviewed
heard-m/sent_items/467.,urgency_enriched,nonurgent,1.0,Reviewed
kean-s/all_documents/1565.,urgency_enriched,nonurgent,1.0,Reviewed
watson-k/tw_outages/13.,urgency_enriched,nonurgent,1.0,Reviewed
staab-t/deleted_items/188.,urgency_enriched,nonurgent,1.0,Reviewed
