message_id,strategy,outer_fold,sampling_stratum,true_label,evaluated_threshold,urgent_probability,probability_band,predicted_label,error_type,diagnostic_pattern
symes-k/_sent_mail/190.,default_0.50,2,general_random,urgent,0.5,0.48103448973159363,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
taylor-m/notes_inbox/2403.,default_0.50,5,urgency_enriched,urgent,0.5,0.4919332625509785,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
taylor-m/sent/528.,default_0.50,3,urgency_enriched,urgent,0.5,0.48170868835083,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
watson-k/e_mail_bin/537.,default_0.50,5,urgency_enriched,urgent,0.5,0.49158227083261863,0.475_to_below_0.50,nonurgent,false_negative,default_threshold_missed_urgent
baughman-d/inbox/129.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4642727559111503,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
beck-s/all_documents/1960.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4695927396359648,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
campbell-l/sent/162.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4740306342234075,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
jones-t/notes_inbox/3294.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.46631303611382274,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
kaminski-v/_sent_mail/4074.,nested_selected_threshold,2,urgency_enriched,nonurgent,0.45,0.47415756970651574,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
kaminski-v/c/technote/mail/projects/97.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.4741914521752109,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
lay-k/inbox/682.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.47182919859907074,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
lokay-m/deleted_items/201.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.46842356927976475,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
lokay-m/discussion_threads/686.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.4740145922006349,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
martin-t/inbox/282.,nested_selected_threshold,5,urgency_enriched,nonurgent,0.45,0.4731195297529507,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
ring-r/eesi_deleted_documents/5.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4701261377973291,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
scott-s/all_documents/1281.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.47252814845600466,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
shackleton-s/all_documents/1260.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.4747560501142571,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
shackleton-s/notes_inbox/376.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4746564811355644,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
shapiro-r/all_documents/75.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4745873563854935,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
taylor-m/sent/124.,nested_selected_threshold,3,urgency_enriched,nonurgent,0.45,0.47129926909965825,0.45_to_below_0.475,urgent,false_positive,lower_threshold_review_burden
arnold-j/_sent_mail/794.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.48122748814542504,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
baughman-d/all_documents/269.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4779519916619855,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
beck-s/personal/26.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.48105517869581754,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
benson-r/inbox/large_messages/11.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4849001299621755,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
blair-l/meetings/704.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4837145921253569,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
buy-r/inbox/324.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.4879429143270122,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
buy-r/sent_items/163.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.47608949261906075,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
campbell-l/all_documents/1827.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.48467359858501735,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
campbell-l/inbox/580.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4820295986104593,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
carson-m/amerex/20.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4798756108924631,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
carson-m/sent_items/54.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4820972819153476,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dasovich-j/all_documents/13099.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.48756276214545924,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dasovich-j/all_documents/1389.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.49003314334224035,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dasovich-j/all_documents/4053.,nested_selected_threshold,2,urgency_enriched,nonurgent,0.45,0.48380961215824997,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dasovich-j/all_documents/905.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4774855362014534,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dasovich-j/all_documents/9918.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4905828070742398,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dasovich-j/notes_inbox/12627.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4781431127611398,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dasovich-j/sent/115.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4776742905842401,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
donohoe-t/discussion_threads/109.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.4904591229038742,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
dorland-c/sent/333.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4898517524888397,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
ermis-f/all_documents/95.,nested_selected_threshold,5,urgency_enriched,nonurgent,0.45,0.4769755767417371,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
farmer-d/all_documents/1506.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.49062236841607615,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
farmer-d/cornhusker/39.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.487642421182793,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
fossum-d/discussion_threads/14.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.484789518298079,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
fossum-d/discussion_threads/284.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4777295338432653,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
gay-r/inbox/84.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4879803290444392,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
germany-c/_sent_mail/1843.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.48305399086378714,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
germany-c/all_documents/323.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4936837531426046,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
griffith-j/producer_services/9.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4909983260136265,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
griffith-j/skew/10.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4915253113899629,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
grigsby-m/_sent_mail/179.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.48606242397009636,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
haedicke-m/inbox/107.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.48677692424246277,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
hayslett-r/all_documents/440.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.47650486034685263,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
heard-m/sent_items/467.,nested_selected_threshold,5,urgency_enriched,nonurgent,0.45,0.4885734381986798,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
hernandez-j/notes_inbox/110.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4890139408297702,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
hodge-j/notes_inbox/19.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.48074468260190256,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
horton-s/discussion_threads/56.,nested_selected_threshold,5,urgency_enriched,nonurgent,0.45,0.4859426904870621,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
hyvl-d/gas/20.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.4974759654327009,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
jones-t/all_documents/10791.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4925203151786969,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
jones-t/all_documents/9996.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.48693404966083875,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
jones-t/notes_inbox/134.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.47814647675254524,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
jones-t/notes_inbox/3149.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4828931999164159,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/_sent_mail/2409.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.48420389615491577,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/all_documents/5954.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.49071069975270554,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/calendar/72.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4848519860213566,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/credit/42.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.48600895156289525,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/deleted_items/2210.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.47934680090047666,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/sent/1703.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4898535869861964,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/sent/3970.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.48487625571524606,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kaminski-v/sent/539.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4905086756121171,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/all_documents/1008.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4767047211717102,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/all_documents/5917.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.48477257762266,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/archiving/untitled/1961.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4763236148010026,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/attachments/1922.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4754437909399834,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/calendar/untitled/409.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.4862660792699472,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/calendar/untitled/909.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4794810048465921,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/california/597.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4757890794025854,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/discussion_threads/2455.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4920501673055648,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kean-s/notes_inbox/150.,nested_selected_threshold,3,urgency_enriched,nonurgent,0.45,0.4948150719287609,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kitchen-l/_americas/esvl/405.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4831391832000264,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
kitchen-l/sent_items/602.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.49398794553637787,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
lavorato-j/discussion_threads/104.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.48896101790864127,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
lay-k/all_documents/962.,nested_selected_threshold,3,urgency_enriched,nonurgent,0.45,0.4847511110227877,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
linder-e/all_documents/891.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4829428586605914,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
lokay-m/all_documents/815.,nested_selected_threshold,3,urgency_enriched,nonurgent,0.45,0.4825612452532722,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
lokay-m/corporate/149.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4836614557606943,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
lokay-m/discussion_threads/425.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4801638035998332,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
love-p/all_documents/23.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.47777865029031036,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
love-p/discussion_threads/390.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.47890811313500986,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mann-k/deleted_items/179.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.4793945616913885,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mann-k/discussion_threads/2010.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4927151484051174,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mccarty-d/deleted_items/98.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4797540049117186,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mcconnell-m/_sent_mail/630.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4799546774989141,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mcconnell-m/discussion_threads/15.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.47817940718748936,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mcconnell-m/notes_inbox/117.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4979083588136308,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mims-thurston-p/_sent_mail/209.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.47955938034491463,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
mims-thurston-p/deleted_items/471.,nested_selected_threshold,2,urgency_enriched,nonurgent,0.45,0.47998085004427765,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
neal-s/sent/365.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.47837772385453364,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
nemec-g/all_documents/4842.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.47704701582428727,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
nemec-g/all_documents/5101.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.49380501443926084,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
nemec-g/all_documents/6442.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.47530222977695585,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
nemec-g/sent/2003.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.47897944744684817,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
panus-s/deleted_items/5.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4766673019221249,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
perlingiere-d/sent/271.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.485656641859995,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
perlingiere-d/sent_items/137.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4813572354916944,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
rogers-b/genco_jv_ipo/414.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.48210079450702903,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
sager-e/all_documents/1317.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4768096345902316,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
sanders-r/all_documents/1617.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4856356554566884,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
sanders-r/all_documents/2180.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.48241486015359336,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
sanders-r/deleted_items/37.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4808208341508512,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
sanders-r/nsm/38.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.49061593941922715,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
scholtes-d/transmission/37.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4753059590245668,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
schoolcraft-d/inbox/junk/574.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.4844235899052593,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
schwieger-j/hpl_sell/1.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4830507233251352,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
scott-s/_sent_mail/82.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.4849488838485795,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
semperger-c/sent_items/37.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.4863353051641168,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shackleton-s/all_documents/10460.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.47897785892766376,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shackleton-s/all_documents/2656.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.47850549183430824,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shackleton-s/notes_inbox/794.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4759600419893857,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shackleton-s/sent/2371.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.48356933521430573,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shankman-j/all_documents/1133.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4917592821774881,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shankman-j/all_documents/322.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.48862060418231557,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shankman-j/all_documents/374.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.48780797056213604,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
shapiro-r/2002_budget/4.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4817970732304287,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
skilling-j/_sent_mail/282.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4942894110218363,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
skilling-j/discussion_threads/1074.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.4761934063084632,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
skilling-j/discussion_threads/1195.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.48399136342199284,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
storey-g/deleted_items/231.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4761694746434131,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
symes-k/all_documents/102.,nested_selected_threshold,4,urgency_enriched,nonurgent,0.45,0.47609841873989855,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
symes-k/discussion_threads/1981.,nested_selected_threshold,1,general_random,nonurgent,0.45,0.49444871655896105,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
taylor-m/all_documents/8334.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.4852847453848359,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
taylor-m/deleted_items/539.,nested_selected_threshold,5,general_random,nonurgent,0.45,0.48572832471342314,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
tholt-j/_sent_mail/49.,nested_selected_threshold,4,general_random,nonurgent,0.45,0.4785860327659081,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
watson-k/tw_outages/13.,nested_selected_threshold,3,urgency_enriched,nonurgent,0.45,0.4839930044675754,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
whalley-l/_sent_mail/56.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.48377496494441885,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
whalley-l/discussion_threads/1358.,nested_selected_threshold,3,general_random,nonurgent,0.45,0.47735914044099576,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
white-s/deleted_items/650.,nested_selected_threshold,2,general_random,nonurgent,0.45,0.47789569525124387,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
williams-w3/bill_williams_iii/268.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.4816960950634201,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
zufferli-j/sent_items/30.,nested_selected_threshold,1,urgency_enriched,nonurgent,0.45,0.49881038529235566,0.475_to_below_0.50,urgent,false_positive,lower_threshold_review_burden
